n_authors,Session,Order,abstract_number,category,article-title,surname1,given-names1,aff1,abstract,fn-group,surname2,given-names2,aff2,surname3,given-names3,aff3,surname4,given-names4,aff4,surname5,given-names5,aff5,surname6,given-names6,aff6,surname7,given-names7,aff7,surname8,given-names8,aff8,surname9,given-names9,aff9,surname10,given-names10,aff10,surname11,given-names11,aff11,surname12,given-names12,aff12,surname13,given-names13,aff13,surname14,given-names14,aff14,surname15,given-names15,aff15,surname16,given-names16,aff16,surname17,given-names17,aff17
6,3,4,11,"Contributed Talk","Foveal RGCs develop abnormal calcium clearance weeks after photoreceptor ablation",Xu,Zhengyang,"Institute of Optics, University of Rochester, Rochester, New York, UNITED STATES","Vision restoration therapies aim to restore light sensitivity to the retina following photoreceptor (PR) degeneration. Physiological changes in retinal ganglion cells (RGCs) have been reported in rodent models of PR loss but this has not been investigated in primates. By expressing both a calcium indicator (GCaMP6s) and an optogenetic actuator (ChrimsonR) in foveal RGCs of a macaque, we reactivate RGCs and assess activity in the weeks and years following PR loss. Cones were ablated with an ultrafast laser delivered through an adaptive optics scanning light ophthalmoscope (AOSLO). A 0.5 s optogenetic stimulus (1 mW, 640 nm) was delivered to the deafferented RGCs, and GCaMP fluorescence was recorded for 90 s. The calcium response was collected with AOSLO over 10 weeks and the signal decay was fitted with an exponential model. Optogenetic responses in RGCs persisted over 2 years following PR ablation. The mean time to peak calcium response was stable in deafferented RGCs over the 10 weeks (paired t-test, p<0.001), while the mean decay constant of the calcium response decreased 2.1 fold (2.5±0.5 s to 1.2±0.2 s SD) in the 8 weeks post PR ablation. The presence of optogenetic responses 2 years after PR loss and the stable rise time is promising for vision restoration therapies with RGCs. However, the 2-fold reduction in the decay constant of the calcium response suggests that restored activity may be impacted by physiological changes in the inner retina weeks after PR loss.","Funding from the AGI initiative NIH U24 EY033275, CVS core support from NIH P30 EY0001319 An unrestricted grant to the Flaum Eye Institute from Research to Prevent Blindness and the Steven. E. Feldon Scholarship from the Flaum Eye Institute",Kunala,Karteek,"Center for Visual Science, University of Rochester Medical Center, Rochester, New York, UNITED STATES",Murphy,Peter,"Institute of Optics, University of Rochester, Rochester, New York, UNITED STATES",Koo,Edith,"Institute of Optics, University of Rochester, Rochester, New York, UNITED STATES",Puthussery,Teresa,"Herbert Wertheim School of Optometry & Vision Science, University of California Berkeley, Berkeley, California, UNITED STATES; Helen Wills Neuroscience Institute, University of California Berkeley, Berkeley, California, UNITED STATES",McGregor,"Juliette E.","Flaum Eye Institute, University of Rochester Medical Center, Rochester, New York, UNITED STATES ; Center for Visual Science, University of Rochester Medical Center, Rochester, New York, UNITED STATES",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,1,12,"Invited Talk","Interactions between Light Exposure and Diurnal Rhythms on the Choroid",Ostrin,Lisa,"University of Houston College of Optometry","Purpose: Increasing evidence demonstrates that light exposure and circadian rhythms plays a role in myopia, with high intensity outdoor light being protective. The choroid may be involved in this mechanism. The goals of our studies were to examine the interaction between light exposure and circadian influences on the choroid. 
Methods: In Experiment 1, choroid diurnal rhythms were investigated during monocular light deprivation in adults using spectral domain optical coherence tomography imaging (SD-OCT). The left eye was light deprived for 20 hours. In Experiment 2, the effects of two hours of high intensity outdoor light exposure on retinal and choroid thickness were investigated and compared to indoor illumination and darkness. 
Results: For Experiment 1, choroid diurnal variation persisted and retinal diurnal variation was eliminated in light deprived eyes. Total retinal and inner segment thicknesses decreased (P < 0.001) and outer segment + RPE thickness increased (P < 0.05) with light deprivation. For Experiment 2, the choroid was significantly thinner during outdoor light exposure compared to indoors and darkness (P < .01), but returned to baseline at follow-up (P > .05). Total retinal thickness was significantly thicker during and after the outdoor compared to indoor and dark conditions (P < .05). 
Conclusions: These studies demonstrate that the choroid is mediated by both intrinsic circadian mechanisms as well as light exposure. Choroidal thickness rhythms were not impacted by short-term light deprivation. Surprisingly, high intensity sunlight resulted in an unexpected thinning of the choroid. These findings have implications regarding the interaction between light exposure, circadian rhythm, and the choroid on myopia.",None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,4,2,13,"Invited Talk","Early functional changes in the myopic retina compromise emmetropization",Schaeffel,Frank,"Institute of molecular and clinical ophthalmology Basel (IOB), Switzerland; Ophthalmic Research Institute, University of Tuebingen, Germany; Zeiss Vision Science Lab, Ophthalmic Research Institute, University of Tuebingen, Germany","There is abundant evidence that emmetropization is controlled by visual experience, and that the retina is able to extract the information necessary to fine-tune axial eye growth during development. Emmetropization represents a closed-loop feedback system that uses defocus as error signal. It involves two pathways, one stimulating eye growth and the other restraining it. Both are different at several levels (1) different genes (2) different biochemical pathways and pharmacological interventions (3) different modes of retinal image processing. Knowing all this, the question arises why myopia does not limit itself and why undercorrection does not inhibit eye growth as expected from experiments in animal models. We found that only the emmetropic human retina can generate the growth-inhibiting signals when the focal plane is in front of the retina while the myopic retina has largely lost this ability. The functional deficit concerns retinal image processing, not the biochemical signaling cascades to choroid and sclera. Most recently, we found that the emmetropic human retina uses chromatic differences in focus to determine the sign of defocus. Again, we found that the myopic retina has lost this ability. The questions are now: (1) why and when occur the changes in the myopic retina that make myopia an open loop system, (2) what is the biological sense of this functional loss at a time when vision is otherwise normal (with correction) and (3) what are the underlying retinal circuits that seem to “give up”? ",None,Swiatczak,Barbara,"Institute of molecular and clinical ophthalmology Basel (IOB), Switzerland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,3,14,"Invited Talk","Ocular growth regulation and the complexities of optical defocus decoding: A perspective from studies in chicks",Wildsoet,"Christine F","Herbert Wertheim School of Optometry & Vision Science, UC Berkeley","The COVD pandemic has seen a further rise in the prevalence of myopia world-wide, adding to the urgency of effective treatments that can prevent or slow myopia progression. In addition to multifocal soft contact lenses and orthokeratology lenses for myopia control, a variety of novel spectacle lenses involving modified peripheries are either currently under clinical trial or recently approved. Yet still unresolved questions related to underlying retinal mechanisms of action represent handicaps to their further refinement and improved efficacy. In this presentation, results will be presented from studies using young chicks as a model for manipulating the amount, retinal location and timing of imposed optical defocus, as well as the spatial frequency content of retinal images (with Bangerter foils), by way of offering some additional insights into mechanisms. The predictive values of choroidal thickness changes, as well as eye shape changes, as determinants of “myopia control”, will also be considered.","National Eye Institute Grants R01EY012392 (CFW).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,4,4,15,"Invited Talk","Accommodation during Myopia Management is Related to Treatment Efficacy",Troilo,David,"SUNY College of Optometry","The relationship of accommodation to myopia development and progression has been the subject of speculation and debate for many years.  In this presentation some of the key findings from past research will be discussed along with recent data showing that accommodative behavior during optical treatment with multifocal contact lenses is related to treatment efficacy. The results will be discussed along with some possible strategies for improving treatment outcomes. ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,1,16,"Invited Talk","Exploring the function of different forms of visual recurrence with artificial neural networks",Lindsay,Grace,"New York University","Behavioral studies suggest that recurrence in the visual system is important for processing degraded stimuli. There are two broad anatomical forms this recurrence can take, lateral or feedback, each with different assumed functions. I'll discuss work wherein I add four different kinds of recurrence—two of each anatomical form—to a feedforward convolutional neural network and find all forms capable of increasing the ability of the network to classify noisy digit images. By using several analysis tools frequently applied to neural data, the distinct strategies used by different networks were identified. The analyses used here can be applied to real neural recordings to identify the strategies at play in the brain. An analysis of an fMRI dataset weakly supports the predictive feedback model but points to a need for higher-resolution cross-regional data to understand recurrent visual processing.","Marie Curie Individual Fellowship",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,2,17,"Invited Talk","Robust information representation in hierarchical networks of the visual cortex",Choi,Hannah,"Georgia Institute of Technology","The mammalian visual system has an exquisite ability to encode relevant information from noisy sensory inputs in natural scenes. Such robust yet adaptable computation is believed to emerge from the uniquely complex connectivity structure of biological neural networks. In this talk, I will focus on the hierarchical organization of the cortical network, and discuss how this unique network structure shapes robust representations of noisy visual inputs via predictive coding. Using a predictive coding model of hierarchically-related visual cortical areas, we link feedback connections to top-down predictions of the lower cortical neural activity. Our model shows that hierarchical predictive coding explains the mechanisms of robust recognition of noisy objects in intermediate cortical areas. Secondly, we study how context-specific information may be represented and modified across learning in populations of neurons in a recurrent neural network model of hierarchically-related cortical areas. Motivated by an experimental study investigating neural activities in response to expected and unexpected natural images in mouse visual cortex, we test how the divergence of feedforward and feedback connections underlie differential representations of expected and surprising sensory information across cortical areas and layers. In sum, our study provides insights into how robust and adaptable visual encoding arise from biologically-motivated connectivity across the cortical hierarchy.","National Eye Institute of the National Institutes of Health under Award Number K99/R00 EY030840",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,3,18,"Invited Talk","Neural population geometry: An approach for understanding biological and artificial neural networks",Chung,SueYeon,"New York University","A central goal in neuroscience is to understand how orchestrated computations in the brain arise from the properties of single neurons and networks of such neurons. Answering this question requires theoretical advances that shine light into the ‘black box’ of representations in neural circuits. In this talk, we will demonstrate theoretical approaches that help describe how cognitive and behavioral task implementations emerge from the structure in neural populations and from biologically plausible neural networks. First, we will introduce an analytic theory that connects geometric structures that arise from neural responses (i.e., neural manifolds) to the neural population’s efficiency in implementing a task. In particular, this theory describes a perceptron’s capacity for linearly classifying object categories based on the underlying neural manifolds’ structural properties. Next, we will describe how such methods can, in fact, open the ‘black box’ of distributed neuronal circuits in a range of experimental neural datasets. In particular, our method overcomes the limitations of traditional dimensionality reduction techniques, as it operates directly on the high-dimensional representations, rather than relying on low-dimensionality assumptions for visualization. Furthermore, this method allows for simultaneous multi-level analysis, by measuring geometric properties in neural population data, and estimating the amount of task information embedded in the same population. These geometric frameworks are general and can be used across different brain areas and task modalities, as demonstrated in the work of ours and others, ranging from the visual cortex to parietal cortex to hippocampus, and from calcium imaging to electrophysiology to fMRI datasets. Finally, we will discuss our recent efforts to fully extend this multi-level description of neural populations, by (1) investigating how single neuron properties shape the representation geometry in early sensory areas, and by (2) understanding how task-efficient neural manifolds emerge in biologically-constrained neural networks. By extending our mathematical toolkit for analyzing representations underlying complex neuronal networks, we hope to contribute to the long-term challenge of understanding the neuronal basis of tasks and behaviors.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,5,4,19,"Invited Talk","Reverse-engineering neural code in the language of objects and generative models ",Yildirim,Ilker,"Yale University","When we open our eyes, we do not see a jumble of light or colorful patterns. There lies a great distance from the raw inputs sensed at our retinas to what we experience as the contents of our perception. How in the brain are incoming sense inputs transformed into rich, discrete structures that we can think about and plan with? These “world models” include representations of objects with kinematic and dynamical properties, scenes with navigational affordances, and events with temporally demarcated dynamics. Real world scenes are complex, but given a momentary task, only a fraction of this complexity is relevant to the observer. Attention allows us to selectively form these world models, driving flexible action as task-driven, simulatable state-spaces. How in the mind and brain do we build and use such internal models of the world from raw visual inputs? In this talk, I will begin to address this question by presenting two new computational modeling frameworks.  First, in high-level vision, I will show how we can reverse-engineer population-level neural activity in the macaque visual cortex in the language of three-dimensional objects and computer graphics, by combining generative models with deep neural networks. Second, I will present a novel account of attention based on adaptive computation that situates vision in the broader context of an agent with goals, and show how it explains internal representations and implicit goals underlying the selectivity of scene perception.","Air Force Office of Scientific Research FA9550-22-1-0041",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,6,1,20,"Contributed Talk","Detecting subclinical keratoconus by mapping corneal biomechanics using wave-based optical coherence elastography",Zvietcovich,Fernando,"""Daza de Valdes"" Institute of Optics, The Spanish National Research Council - CSIC, Madrid 28006, Spain","The detection of subclinical keratoconus in human corneas remains a challenging task. It is hypothesized that the focal reduction in biomechanical properties of the cornea would be the primary initiating event of keratoconus before changes in topography and pachymetry are manifested. We propose to use an air-couple ultrasonic optical coherence elastography system to map the elasticity of the corneas of 15 patients with a clinical diagnosis of keratoconus (KC) in one eye, and subclinical keratoconus (SK) in the fellow eye. The fully non-contact system excites the corneal apex to produce Lamb wave propagation and measures wave speed and average corneal thickness along 16 semi-meridians. Measurements in 30 human healthy subjects (control group: CG, N = 60 corneas) defined a baseline of normal biomechanics in two biomarkers: Spatial Anisotropy of Wave Speed (SAWS < 0.207), and the Speed-Thickness Index (STI > 0). SAWS was significantly higher in KC (0.353, p < 0.001) and SK (0.249, p < 0.001) corneas when compared to the CG. Moreover, STI maps show abnormal elasticity in SK (STI = -1.22) and KC (STI = -0.375) compared to the CG. Our results show important biomechanical differences in SAWS and STI between normal, subclinical, and advanced stages of keratoconus, suggesting those as potential biomarkers to identify “at-risk” corneas before changes in topography and pachymetry become evident.","Horizon 2020 Framework Programme European Project Imcustomeye (H2020-ICT-2017 Ref. 779960); European Research Council (2018-ADG-SILKEYE-833106); Spanish Government10.13039/100014440 (CSIC JAE Intro Fellowship); L'Oréal-UNESCO “For Women in Science” Spain; Spanish Government Juan de la Cierva-Incorporation Fellowship (IJC2018-037508-I); Spanish Government PID2020-115191RB-I00; NIH NIE P30EY 001319; Unrestricted Funds Research to Prevent Blindness, NY",Birkenfeld,Judith,"""Daza de Valdes” Institute of Optics, Spanish National Research Council, Madrid, Spain",Alejandre-Alba,Nicolas,"Ophthalmology Department, Fundación Jiménez Díaz University Hospital, Madrid, Spain",Merayo,Jesus,"Fernandez-Vega Institute, University of Oviedo, Oviedo, Spain.",Marcos,Susana,"The Center of Visual Science, University of Rochester",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
